序号,学校名称,所在省,机构/学校编号,所在地市,主管部门,办学层次,办学性质,机构/学校标签,备注2,,,,,,,
636,黑龙江农业经济职业学院,黑龙江省,HL_056,牡丹江市,黑龙江省,专科,公办,,,,,,,,,
637,哈尔滨职业技术学院,黑龙江省,HL_057,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
638,哈尔滨传媒职业学院,黑龙江省,HL_058,哈尔滨市,黑龙江省教育厅,专科,民办,,,,,,,,,
639,黑龙江生物科技职业学院,黑龙江省,HL_059,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
640,黑龙江商业职业学院,黑龙江省,HL_060,牡丹江市,黑龙江省,专科,公办,,,,,,,,,
641,黑龙江公安警官职业学院,黑龙江省,HL_061,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
642,黑龙江信息技术职业学院,黑龙江省,HL_062,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
643,哈尔滨城市职业学院,黑龙江省,HL_063,哈尔滨市,黑龙江省教育厅,专科,民办,,,,,,,,,
644,黑龙江农垦科技职业学院,黑龙江省,HL_064,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
645,黑龙江旅游职业技术学院,黑龙江省,HL_065,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
646,黑龙江三江美术职业学院,黑龙江省,HL_066,佳木斯市,黑龙江省教育厅,专科,民办,,,,,,,,,
647,黑龙江生态工程职业学院,黑龙江省,HL_067,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
648,黑龙江能源职业学院,黑龙江省,HL_068,双鸭山市,黑龙江省,专科,公办,,,,,,,,,
649,七台河职业学院,黑龙江省,HL_069,七台河市,黑龙江省,专科,公办,,,,,,,,,
650,黑龙江民族职业学院,黑龙江省,HL_070,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
651,大庆医学高等专科学校,黑龙江省,HL_071,大庆市,黑龙江省,专科,公办,,,,,,,,,
652,黑龙江交通职业技术学院,黑龙江省,HL_072,齐齐哈尔市,黑龙江省,专科,公办,,,,,,,,,
653,哈尔滨应用职业技术学院,黑龙江省,HL_073,哈尔滨市,黑龙江省教育厅,专科,民办,,,,,,,,,
654,黑龙江幼儿师范高等专科学校,黑龙江省,HL_074,牡丹江市,黑龙江省,专科,公办,,,,,,,,,
655,哈尔滨科学技术职业学院,黑龙江省,HL_075,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
656,黑龙江粮食职业学院,黑龙江省,HL_076,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
657,佳木斯职业学院,黑龙江省,HL_077,佳木斯市,黑龙江省,专科,公办,,,,,,,,,
658,黑龙江护理高等专科学校,黑龙江省,HL_078,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
659,齐齐哈尔理工职业学院,黑龙江省,HL_079,齐齐哈尔市,黑龙江省教育厅,专科,民办,,,,,,,,,
660,哈尔滨幼儿师范高等专科学校,黑龙江省,HL_080,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
661,黑龙江冰雪体育职业学院,黑龙江省,HL_081,哈尔滨市,黑龙江省,专科,公办,,,,,,,,,
662,复旦大学,上海市,SH_001,上海市,教育部,本科,公办,211/985,上海市（64所）,,,,,,,
663,同济大学,上海市,SH_002,上海市,教育部,本科,公办,211/985,,,,,,,,
664,上海交通大学,上海市,SH_003,上海市,教育部,本科,公办,211/985,,,,,,,,
665,华东理工大学,上海市,SH_004,上海市,教育部,本科,公办,211,,,,,,,,
666,上海理工大学,上海市,SH_005,上海市,上海市,本科,公办,,,,,,,,,
667,上海海事大学,上海市,SH_006,上海市,上海市,本科,公办,,,,,,,,,
668,东华大学,上海市,SH_007,上海市,教育部,本科,公办,211,,,,,,,,
669,上海电力学院,上海市,SH_008,上海市,上海市,本科,公办,,,,,,,,,
670,上海应用技术大学,上海市,SH_009,上海市,上海市,本科,公办,,,,,,,,,
671,上海健康医学院,上海市,SH_010,上海市,上海市,本科,公办,,,,,,,,,
672,上海海洋大学,上海市,SH_011,上海市,上海市,本科,公办,,,,,,,,,
673,上海中医药大学,上海市,SH_012,上海市,上海市,本科,公办,,,,,,,,,
674,华东师范大学,上海市,SH_013,上海市,教育部,本科,公办,211/985,,,,,,,,
675,上海师范大学,上海市,SH_014,上海市,上海市,本科,公办,,,,,,,,,
676,上海外国语大学,上海市,SH_015,上海市,教育部,本科,公办,211,,,,,,,,
677,上海财经大学,上海市,SH_016,上海市,教育部,本科,公办,211,,,,,,,,
678,上海对外经贸大学,上海市,SH_017,上海市,上海市,本科,公办,,,,,,,,,
679,上海海关学院,上海市,SH_018,上海市,海关总署,本科,公办,,,,,,,,,
680,华东政法大学,上海市,SH_019,上海市,上海市,本科,公办,,,,,,,,,
681,上海体育学院,上海市,SH_020,上海市,上海市,本科,公办,,,,,,,,,
682,上海音乐学院,上海市,SH_021,上海市,上海市,本科,公办,,,,,,,,,
683,上海戏剧学院,上海市,SH_022,上海市,上海市,本科,公办,,,,,,,,,
684,上海大学,上海市,SH_023,上海市,上海市,本科,公办,211,,,,,,,,
685,上海公安学院,上海市,SH_024,上海市,上海市,本科,公办,,,,,,,,,
686,上海工程技术大学,上海市,SH_025,上海市,上海市,本科,公办,,,,,,,,,
687,上海立信会计金融学院,上海市,SH_026,上海市,上海市,本科,公办,,,,,,,,,
688,上海电机学院,上海市,SH_027,上海市,上海市,本科,公办,,,,,,,,,
689,上海杉达学院,上海市,SH_028,上海市,上海市教委,本科,民办,,,,,,,,,
690,上海政法学院,上海市,SH_029,上海市,上海市,本科,公办,,,,,,,,,
691,上海第二工业大学,上海市,SH_030,上海市,上海市,本科,公办,,,,,,,,,
692,上海商学院,上海市,SH_031,上海市,上海市,本科,公办,,,,,,,,,
693,上海建桥学院,上海市,SH_032,上海市,上海市教委,本科,民办,,,,,,,,,
694,上海兴伟学院,上海市,SH_033,上海市,上海市教委,本科,民办,,,,,,,,,
695,上海视觉艺术学院,上海市,SH_034,上海市,上海市教委,本科,民办,,,,,,,,,
696,"上海外国语大学贤达经济人文
学院",上海市,SH_035,上海市,上海市教委,本科,民办,,,,,,,,,
697,上海师范大学天华学院,上海市,SH_036,上海市,上海市教委,本科,民办,,,,,,,,,
698,上海科技大学,上海市,SH_037,上海市,"上海市
中国科学院",本科,公办,,,,,,,,,
699,上海纽约大学,上海市,SH_038,上海市,上海市教委,本科,中外合作办学,,,,,,,,,
700,上海旅游高等专科学校,上海市,SH_039,上海市,上海市,专科,公办,,,,,,,,,
701,上海东海职业技术学院,上海市,SH_040,上海市,上海市教委,专科,民办,,,,,,,,,
702,上海工商职业技术学院,上海市,SH_041,上海市,上海市教委,专科,民办,,,,,,,,,
703,上海出版印刷高等专科学校,上海市,SH_042,上海市,上海市,专科,公办,,,,,,,,,
704,上海行健职业学院,上海市,SH_043,上海市,上海市,专科,公办,,,,,,,,,
705,上海城建职业学院,上海市,SH_044,上海市,上海市,专科,公办,,,,,,,,,
706,上海交通职业技术学院,上海市,SH_045,上海市,上海市,专科,公办,,,,,,,,,
707,上海海事职业技术学院,上海市,SH_046,上海市,上海市,专科,公办,,,,,,,,,
708,上海电子信息职业技术学院,上海市,SH_047,上海市,上海市,专科,公办,,,,,,,,,
709,上海震旦职业学院,上海市,SH_048,上海市,上海市教委,专科,民办,,,,,,,,,
710,上海民远职业技术学院,上海市,SH_049,上海市,上海市教委,专科,民办,,,,,,,,,
711,上海欧华职业技术学院,上海市,SH_050,上海市,上海市教委,专科,民办,,,,,,,,,
712,上海思博职业技术学院,上海市,SH_051,上海市,上海市教委,专科,民办,,,,,,,,,
713,上海立达职业技术学院,上海市,SH_052,上海市,上海市教委,专科,民办,,,,,,,,,
714,上海工艺美术职业学院,上海市,SH_053,上海市,上海市,专科,公办,,,,,,,,,
715,上海济光职业技术学院,上海市,SH_054,上海市,上海市教委,专科,民办,,,,,,,,,
716,上海工商外国语职业学院,上海市,SH_055,上海市,上海市教委,专科,民办,,,,,,,,,
717,上海科学技术职业学院,上海市,SH_056,上海市,上海市,专科,公办,,,,,,,,,
718,上海农林职业技术学院,上海市,SH_057,上海市,上海市,专科,公办,,,,,,,,,
719,上海邦德职业技术学院,上海市,SH_058,上海市,上海市教委,专科,民办,,,,,,,,,
720,上海中侨职业技术学院,上海市,SH_059,上海市,上海市教委,专科,民办,,,,,,,,,
721,上海电影艺术职业学院,上海市,SH_060,上海市,上海市教委,专科,民办,,,,,,,,,
722,上海中华职业技术学院,上海市,SH_061,上海市,上海市教委,专科,民办,,,,,,,,,
723,上海工会管理职业学院,上海市,SH_062,上海市,上海市,专科,公办,,,,,,,,,
724,上海体育职业学院,上海市,SH_063,上海市,上海市,专科,公办,,,,,,,,,
725,上海民航职业技术学院,上海市,SH_064,上海市,交通运输部,专科,公办,,,,,,,,,
726,南京大学,江苏省,JS_001,南京市,教育部,本科,公办,211/985,江苏省（167所）,,,,,,,
727,苏州大学,江苏省,JS_002,苏州市,江苏省,本科,公办,211,,,,,,,,
728,东南大学,江苏省,JS_003,南京市,教育部,本科,公办,211/985,,,,,,,,
729,南京航空航天大学,江苏省,JS_004,南京市,工业和信息化部,本科,公办,211,,,,,,,,
730,南京理工大学,江苏省,JS_005,南京市,工业和信息化部,本科,公办,211,,,,,,,,
731,江苏科技大学,江苏省,JS_006,镇江市,江苏省,本科,公办,,,,,,,,,
732,中国矿业大学,江苏省,JS_007,徐州市,教育部,本科,公办,211,,,,,,,,
733,南京工业大学,江苏省,JS_008,南京市,江苏省,本科,公办,,,,,,,,,
734,常州大学,江苏省,JS_009,常州市,江苏省,本科,公办,,,,,,,,,
735,南京邮电大学,江苏省,JS_010,南京市,江苏省,本科,公办,,,,,,,,,
736,河海大学,江苏省,JS_011,南京市,教育部,本科,公办,211,,,,,,,,
737,江南大学,江苏省,JS_012,无锡市,教育部,本科,公办,211,,,,,,,,
738,南京林业大学,江苏省,JS_013,南京市,江苏省,本科,公办,,,,,,,,,
739,江苏大学,江苏省,JS_014,镇江市,江苏省,本科,公办,,,,,,,,,
740,南京信息工程大学,江苏省,JS_015,南京市,江苏省,本科,公办,,,,,,,,,
741,南通大学,江苏省,JS_016,南通市,江苏省,本科,公办,,,,,,,,,
742,盐城工学院,江苏省,JS_017,盐城市,江苏省,本科,公办,,,,,,,,,
743,南京农业大学,江苏省,JS_018,南京市,教育部,本科,公办,,,,,,,,,
744,南京医科大学,江苏省,JS_019,南京市,江苏省,本科,公办,,,,,,,,,
745,徐州医科大学,江苏省,JS_020,徐州市,江苏省,本科,公办,,,,,,,,,
746,南京中医药大学,江苏省,JS_021,南京市,江苏省,本科,公办,211,,,,,,,,
747,中国药科大学,江苏省,JS_022,南京市,教育部,本科,公办,,,,,,,,,
748,南京师范大学,江苏省,JS_023,南京市,江苏省,本科,公办,211,,,,,,,,
749,江苏师范大学,江苏省,JS_024,徐州市,江苏省,本科,公办,,,,,,,,,
750,淮阴师范学院,江苏省,JS_025,淮安市,江苏省,本科,公办,,,,,,,,,
751,盐城师范学院,江苏省,JS_026,盐城市,江苏省,本科,公办,,,,,,,,,
752,南京财经大学,江苏省,JS_027,南京市,江苏省,本科,公办,,,,,,,,,
753,江苏警官学院,江苏省,JS_028,南京市,江苏省,本科,公办,,,,,,,,,
754,南京体育学院,江苏省,JS_029,南京市,江苏省,本科,公办,,,,,,,,,
755,南京艺术学院,江苏省,JS_030,南京市,江苏省,本科,公办,,,,,,,,,
756,苏州科技大学,江苏省,JS_031,苏州市,江苏省,本科,公办,,,,,,,,,
757,常熟理工学院,江苏省,JS_032,苏州市,江苏省,本科,公办,,,,,,,,,
758,淮阴工学院,江苏省,JS_033,淮安市,江苏省,本科,公办,,,,,,,,,
759,常州工学院,江苏省,JS_034,常州市,江苏省,本科,公办,,,,,,,,,
760,扬州大学,江苏省,JS_035,扬州市,江苏省,本科,公办,,,,,,,,,
761,三江学院,江苏省,JS_036,南京市,江苏省教育厅,本科,民办,,,,,,,,,
762,南京工程学院,江苏省,JS_037,南京市,江苏省,本科,公办,,,,,,,,,
763,南京审计大学,江苏省,JS_038,南京市,江苏省,本科,公办,,,,,,,,,
764,南京晓庄学院,江苏省,JS_039,南京市,江苏省,本科,公办,,,,,,,,,
765,江苏理工学院,江苏省,JS_040,常州市,江苏省,本科,公办,,,,,,,,,
766,淮海工学院,江苏省,JS_041,连云港市,江苏省,本科,公办,,,,,,,,,
767,徐州工程学院,江苏省,JS_042,徐州市,江苏省,本科,公办,,,,,,,,,
768,南京特殊教育师范学院,江苏省,JS_043,南京市,江苏省,本科,公办,,,,,,,,,
769,南通理工学院,江苏省,JS_044,南通市,江苏省教育厅,本科,民办,,,,,,,,,
770,南京森林警察学院,江苏省,JS_045,南京市,国家林业局,本科,公办,,,,,,,,,
771,东南大学成贤学院,江苏省,JS_046,南京市,江苏省教育厅,本科,民办,,,,,,,,,
772,泰州学院,江苏省,JS_047,泰州市,江苏省,本科,公办,,,,,,,,,
773,无锡太湖学院,江苏省,JS_048,无锡市,江苏省教育厅,本科,民办,,,,,,,,,
774,金陵科技学院,江苏省,JS_049,南京市,江苏省,本科,公办,,,,,,,,,
775,中国矿业大学徐海学院,江苏省,JS_050,徐州市,江苏省教育厅,本科,民办,,,,,,,,,
776,南京大学金陵学院,江苏省,JS_051,南京市,江苏省教育厅,本科,民办,,,,,,,,,
777,南京理工大学紫金学院,江苏省,JS_052,南京市,江苏省教育厅,本科,民办,,,,,,,,,
778,南京航空航天大学金城学院,江苏省,JS_053,南京市,江苏省教育厅,本科,民办,,,,,,,,,
779,中国传媒大学南广学院,江苏省,JS_054,南京市,江苏省教育厅,本科,民办,,,,,,,,,
780,南京理工大学泰州科技学院,江苏省,JS_055,泰州市,江苏省教育厅,本科,民办,,,,,,,,,
781,南京师范大学泰州学院,江苏省,JS_056,泰州市,江苏省教育厅,本科,民办,,,,,,,,,
782,南京工业大学浦江学院,江苏省,JS_057,南京市,江苏省教育厅,本科,民办,,,,,,,,,
783,南京师范大学中北学院,江苏省,JS_058,南京市,江苏省教育厅,本科,民办,,,,,,,,,
784,南京医科大学康达学院,江苏省,JS_059,连云港市,江苏省教育厅,本科,民办,,,,,,,,,
785,南京中医药大学翰林学院,江苏省,JS_060,泰州市,江苏省教育厅,本科,民办,,,,,,,,,
786,南京信息工程大学滨江学院,江苏省,JS_061,南京市,江苏省教育厅,本科,民办,,,,,,,,,
787,苏州大学文正学院,江苏省,JS_062,苏州市,江苏省教育厅,本科,民办,,,,,,,,,
788,苏州大学应用技术学院,江苏省,JS_063,苏州市,江苏省教育厅,本科,民办,,,,,,,,,
789,苏州科技大学天平学院,江苏省,JS_064,苏州市,江苏省教育厅,本科,民办,,,,,,,,,
790,江苏大学京江学院,江苏省,JS_065,镇江市,江苏省教育厅,本科,民办,,,,,,,,,
791,扬州大学广陵学院,江苏省,JS_066,扬州市,江苏省教育厅,本科,民办,,,,,,,,,
792,江苏师范大学科文学院,江苏省,JS_067,徐州市,江苏省教育厅,本科,民办,,,,,,,,,
793,南京邮电大学通达学院,江苏省,JS_068,扬州市,江苏省教育厅,本科,民办,,,,,,,,,
794,南京财经大学红山学院,江苏省,JS_069,镇江市,江苏省教育厅,本科,民办,,,,,,,,,
795,江苏科技大学苏州理工学院,江苏省,JS_070,张家港市,江苏省教育厅,本科,民办,,,,,,,,,
796,常州大学怀德学院,江苏省,JS_071,泰州市,江苏省教育厅,本科,民办,,,,,,,,,
797,南通大学杏林学院,江苏省,JS_072,南通市,江苏省教育厅,本科,民办,,,,,,,,,
798,南京审计大学金审学院,江苏省,JS_073,南京市,江苏省教育厅,本科,民办,,,,,,,,,
799,宿迁学院,江苏省,JS_074,宿迁市,江苏省教育厅,本科,民办,,,,,,,,,
800,江苏第二师范学院,江苏省,JS_075,南京市,江苏省,本科,公办,,,,,,,,,
801,西交利物浦大学,江苏省,JS_076,苏州市,江苏省教育厅,本科,中外合作办学,,,,,,,,,
802,昆山杜克大学,江苏省,JS_077,昆山市,江苏省教育厅,本科,中外合作办学,,,,,,,,,
803,盐城幼儿师范高等专科学校,江苏省,JS_078,盐城市,江苏省,专科,公办,,,,,,,,,
804,苏州幼儿师范高等专科学校,江苏省,JS_079,苏州市,江苏省,专科,公办,,,,,,,,,
805,明达职业技术学院,江苏省,JS_080,盐城市,江苏省教育厅,专科,民办,,,,,,,,,
806,无锡职业技术学院,江苏省,JS_081,无锡市,江苏省,专科,公办,,,,,,,,,
807,江苏建筑职业技术学院,江苏省,JS_082,徐州市,江苏省,专科,公办,,,,,,,,,
808,南京工业职业技术学院,江苏省,JS_083,南京市,江苏省,专科,公办,,,,,,,,,
809,江苏工程职业技术学院,江苏省,JS_084,南通市,江苏省,专科,公办,,,,,,,,,
810,苏州工艺美术职业技术学院,江苏省,JS_085,苏州市,江苏省,专科,公办,,,,,,,,,
811,连云港职业技术学院,江苏省,JS_086,连云港市,江苏省,专科,公办,,,,,,,,,
812,镇江市高等专科学校,江苏省,JS_087,镇江市,江苏省,专科,公办,,,,,,,,,
813,南通职业大学,江苏省,JS_088,南通市,江苏省,专科,公办,,,,,,,,,
814,苏州职业大学,江苏省,JS_089,苏州市,江苏省,专科,公办,,,,,,,,,
815,沙洲职业工学院,江苏省,JS_090,苏州市,江苏省,专科,公办,,,,,,,,,
816,扬州市职业大学,江苏省,JS_091,扬州市,江苏省,专科,公办,,,,,,,,,
817,连云港师范高等专科学校,江苏省,JS_092,连云港市,江苏省,专科,公办,,,,,,,,,
818,江苏经贸职业技术学院,江苏省,JS_093,南京市,江苏省,专科,公办,,,,,,,,,
819,九州职业技术学院,江苏省,JS_094,徐州市,江苏省教育厅,专科,民办,,,,,,,,,
820,硅湖职业技术学院,江苏省,JS_095,苏州市,江苏省教育厅,专科,民办,,,,,,,,,
821,泰州职业技术学院,江苏省,JS_096,泰州市,江苏省,专科,公办,,,,,,,,,
822,常州信息职业技术学院,江苏省,JS_097,常州市,江苏省,专科,公办,,,,,,,,,
823,江苏联合职业技术学院,江苏省,JS_098,南京市,江苏省,专科,公办,,,,,,,,,
824,江苏海事职业技术学院,江苏省,JS_099,南京市,江苏省,专科,公办,,,,,,,,,
825,应天职业技术学院,江苏省,JS_100,南京市,江苏省教育厅,专科,民办,,,,,,,,,
826,无锡科技职业学院,江苏省,JS_101,无锡市,江苏省,专科,公办,,,,,,,,,
827,江苏医药职业学院,江苏省,JS_102,盐城市,江苏省,专科,公办,,,,,,,,,
828,扬州环境资源职业技术学院,江苏省,JS_103,扬州市,江苏省,专科,公办,,,,,,,,,
829,南通科技职业学院,江苏省,JS_104,南通市,江苏省,专科,公办,,,,,,,,,
830,苏州经贸职业技术学院,江苏省,JS_105,苏州市,江苏省,专科,公办,,,,,,,,,
831,苏州工业职业技术学院,江苏省,JS_106,苏州市,江苏省,专科,公办,,,,,,,,,
832,苏州托普信息职业技术学院,江苏省,JS_107,苏州市,江苏省教育厅,专科,民办,,,,,,,,,
833,苏州卫生职业技术学院,江苏省,JS_108,苏州市,江苏省,专科,公办,,,,,,,,,
834,无锡商业职业技术学院,江苏省,JS_109,无锡市,江苏省,专科,公办,,,,,,,,,
835,南通航运职业技术学院,江苏省,JS_110,南通市,江苏省,专科,公办,,,,,,,,,
836,南京交通职业技术学院,江苏省,JS_111,南京市,江苏省,专科,公办,,,,,,,,,
837,淮安信息职业技术学院,江苏省,JS_112,淮安市,江苏省,专科,公办,,,,,,,,,
838,江苏农牧科技职业学院,江苏省,JS_113,泰州市,江苏省,专科,公办,,,,,,,,,
839,常州纺织服装职业技术学院,江苏省,JS_114,常州市,江苏省,专科,公办,,,,,,,,,
840,苏州农业职业技术学院,江苏省,JS_115,苏州市,江苏省,专科,公办,,,,,,,,,
841,苏州工业园区职业技术学院,江苏省,JS_116,苏州市,江苏省,专科,公办,,,,,,,,,
842,太湖创意职业技术学院,江苏省,JS_117,无锡市,江苏省教育厅,专科,民办,,,,,,,,,
843,炎黄职业技术学院,江苏省,JS_118,淮安市,江苏省教育厅,专科,民办,,,,,,,,,
844,南京科技职业学院,江苏省,JS_119,南京市,江苏省,专科,公办,,,,,,,,,
845,正德职业技术学院,江苏省,JS_120,南京市,江苏省教育厅,专科,民办,,,,,,,,,
846,钟山职业技术学院,江苏省,JS_121,南京市,江苏省教育厅,专科,民办,,,,,,,,,
847,无锡南洋职业技术学院,江苏省,JS_122,无锡市,江苏省教育厅,专科,民办,,,,,,,,,
848,江南影视艺术职业学院,江苏省,JS_123,无锡市,江苏省教育厅,专科,民办,,,,,,,,,
849,金肯职业技术学院,江苏省,JS_124,南京市,江苏省教育厅,专科,民办,,,,,,,,,
850,常州轻工职业技术学院,江苏省,JS_125,常州市,江苏省,专科,公办,,,,,,,,,
851,常州工程职业技术学院,江苏省,JS_126,常州市,江苏省,专科,公办,,,,,,,,,
852,江苏农林职业技术学院,江苏省,JS_127,镇江市,江苏省,专科,公办,,,,,,,,,
853,江苏食品药品职业技术学院,江苏省,JS_128,淮安市,江苏省,专科,公办,,,,,,,,,
854,建东职业技术学院,江苏省,JS_129,常州市,江苏省教育厅,专科,民办,,,,,,,,,
855,南京铁道职业技术学院,江苏省,JS_130,南京市,江苏省,专科,公办,,,,,,,,,
856,徐州工业职业技术学院,江苏省,JS_131,徐州市,江苏省,专科,公办,,,,,,,,,
857,江苏信息职业技术学院,江苏省,JS_132,无锡市,江苏省,专科,公办,,,,,,,,,
858,宿迁职业技术学院,江苏省,JS_133,宿迁市,江苏省,专科,公办,,,,,,,,,
859,南京信息职业技术学院,江苏省,JS_134,南京市,江苏省,专科,公办,,,,,,,,,
860,江海职业技术学院,江苏省,JS_135,扬州市,江苏省教育厅,专科,民办,,,,,,,,,
861,常州机电职业技术学院,江苏省,JS_136,常州市,江苏省,专科,公办,,,,,,,,,
862,江阴职业技术学院,江苏省,JS_137,无锡市,江苏省,专科,公办,,,,,,,,,
863,无锡城市职业技术学院,江苏省,JS_138,无锡市,江苏省,专科,公办,,,,,,,,,
864,无锡工艺职业技术学院,江苏省,JS_139,无锡市,江苏省,专科,公办,,,,,,,,,
865,金山职业技术学院,江苏省,JS_140,镇江市,江苏省教育厅,专科,民办,,,,,,,,,
866,苏州健雄职业技术学院,江苏省,JS_141,苏州市,江苏省,专科,公办,,,,,,,,,
867,盐城工业职业技术学院,江苏省,JS_142,盐城市,江苏省,专科,公办,,,,,,,,,
868,江苏财经职业技术学院,江苏省,JS_143,淮安市,江苏省,专科,公办,,,,,,,,,
869,扬州工业职业技术学院,江苏省,JS_144,扬州市,江苏省,专科,公办,,,,,,,,,
870,苏州百年职业学院,江苏省,JS_145,苏州市,江苏省教育厅,专科,中外合作办学,,,,,,,,,
871,昆山登云科技职业学院,江苏省,JS_146,苏州市,江苏省教育厅,专科,民办,,,,,,,,,
872,南京视觉艺术职业学院,江苏省,JS_147,南京市,江苏省教育厅,专科,民办,,,,,,,,,
873,江苏城市职业学院,江苏省,JS_148,南京市,江苏省,专科,公办,,,,,,,,,
874,南京城市职业学院,江苏省,JS_149,南京市,江苏省,专科,公办,,,,,,,,,
875,南京机电职业技术学院,江苏省,JS_150,南京市,江苏省,专科,公办,,,,,,,,,
876,苏州高博软件技术职业学院,江苏省,JS_151,苏州市,江苏省教育厅,专科,民办,,,,,,,,,
877,南京旅游职业学院,江苏省,JS_152,南京市,江苏省,专科,公办,,,,,,,,,
878,江苏卫生健康职业学院,江苏省,JS_153,南京市,江苏省,专科,公办,,,,,,,,,
879,苏州信息职业技术学院,江苏省,JS_154,苏州市,江苏省,专科,公办,,,,,,,,,
880,宿迁泽达职业技术学院,江苏省,JS_155,宿迁市,江苏省教育厅,专科,民办,,,,,,,,,
881,"苏州工业园区服务外包
职业学院",江苏省,JS_156,苏州市,江苏省,专科,公办,,,,,,,,,
882,徐州幼儿师范高等专科学校,江苏省,JS_157,徐州市,江苏省,专科,公办,,,,,,,,,
883,徐州生物工程职业技术学院,江苏省,JS_158,徐州市,江苏省,专科,公办,,,,,,,,,
884,江苏商贸职业学院,江苏省,JS_159,南通市,江苏省,专科,公办,,,,,,,,,
885,南通师范高等专科学校,江苏省,JS_160,南通市,江苏省,专科,公办,,,,,,,,,
886,扬州中瑞酒店职业学院,江苏省,JS_161,扬州市,江苏省教育厅,专科,民办,,,,,,,,,
887,江苏护理职业学院,江苏省,JS_162,淮安市,江苏省,专科,公办,,,,,,,,,
888,江苏财会职业学院,江苏省,JS_163,连云港市,江苏省,专科,公办,,,,,,,,,
889,江苏城乡建设职业学院,江苏省,JS_164,常州市,江苏省,专科,公办,,,,,,,,,
890,江苏航空职业技术学院,江苏省,JS_165,镇江市,江苏省,专科,公办,,,,,,,,,
891,江苏安全技术职业学院,江苏省,JS_166,徐州市,江苏省,专科,公办,,,,,,,,,
892,江苏旅游职业学院,江苏省,JS_167,扬州市,江苏省,专科,公办,,,,,,,,,
893,浙江大学,浙江省,ZJ_001,杭州市,教育部,本科,公办,211/985,浙江省（107所）,,,,,,,
894,杭州电子科技大学,浙江省,ZJ_002,杭州市,浙江省,本科,公办,,,,,,,,,
895,浙江工业大学,浙江省,ZJ_003,杭州市,浙江省,本科,公办,,,,,,,,,
896,浙江理工大学,浙江省,ZJ_004,杭州市,浙江省,本科,公办,,,,,,,,,
897,浙江海洋大学,浙江省,ZJ_005,舟山市,浙江省,本科,公办,,,,,,,,,
898,浙江农林大学,浙江省,ZJ_006,杭州市,浙江省,本科,公办,,,,,,,,,
899,温州医科大学,浙江省,ZJ_007,温州市,浙江省,本科,公办,,,,,,,,,
900,浙江中医药大学,浙江省,ZJ_008,杭州市,浙江省,本科,公办,,,,,,,,,
901,浙江师范大学,浙江省,ZJ_009,金华市,浙江省,本科,公办,,,,,,,,,
902,杭州师范大学,浙江省,ZJ_010,杭州市,浙江省,本科,公办,,,,,,,,,
903,湖州师范学院,浙江省,ZJ_011,湖州市,浙江省,本科,公办,,,,,,,,,
904,绍兴文理学院,浙江省,ZJ_012,绍兴市,浙江省,本科,公办,,,,,,,,,
905,台州学院,浙江省,ZJ_013,台州市,浙江省,本科,公办,,,,,,,,,
906,温州大学,浙江省,ZJ_014,温州市,浙江省,本科,公办,,,,,,,,,
907,丽水学院,浙江省,ZJ_015,丽水市,浙江省,本科,公办,,,,,,,,,
908,浙江工商大学,浙江省,ZJ_016,杭州市,浙江省,本科,公办,,,,,,,,,
909,嘉兴学院,浙江省,ZJ_017,嘉兴市,浙江省,本科,公办,,,,,,,,,
910,中国美术学院,浙江省,ZJ_018,杭州市,浙江省,本科,公办,,,,,,,,,
911,中国计量大学,浙江省,ZJ_019,杭州市,浙江省,本科,公办,,,,,,,,,
912,公安海警学院,浙江省,ZJ_020,宁波市,公安部,本科,公办,,,,,,,,,
913,浙江万里学院,浙江省,ZJ_021,宁波市,浙江省,本科,公办,,,,,,,,,
914,浙江科技学院,浙江省,ZJ_022,杭州市,浙江省,本科,公办,,,,,,,,,
915,宁波工程学院,浙江省,ZJ_023,宁波市,浙江省,本科,公办,,,,,,,,,
916,浙江水利水电学院,浙江省,ZJ_024,杭州市,浙江省,本科,公办,,,,,,,,,
917,浙江财经大学,浙江省,ZJ_025,杭州市,浙江省,本科,公办,,,,,,,,,
918,浙江警察学院,浙江省,ZJ_026,杭州市,浙江省,本科,公办,,,,,,,,,
919,衢州学院,浙江省,ZJ_027,衢州市,浙江省,本科,公办,,,,,,,,,
920,宁波大学,浙江省,ZJ_028,宁波市,浙江省,本科,公办,,,,,,,,,
921,浙江传媒学院,浙江省,ZJ_029,杭州市,浙江省,本科,公办,,,,,,,,,
922,浙江树人学院,浙江省,ZJ_030,杭州市,浙江省教育厅,本科,民办,,,,,,,,,
923,浙江越秀外国语学院,浙江省,ZJ_031,绍兴市,浙江省教育厅,本科,民办,,,,,,,,,
